	BAP_MISS_FIND	BAP_LA_REF	BAP_RC_REF	BAP_MEM_REF	BAP_ENGLISH	BAP_TOUR
2016:2:3:7:HUALIAN_1_E	1	0	0	0	0	0
2016:2:3:7:HUALIAN_1_S	1	0	0	0	0	0
2016:2:3:7:JILONG_A_E	0	1	0	0	0	0
2016:2:3:7:MUZHA_S	0	0	0	0	0	0
2016:2:3:7:TOUR_S	0	0	0	0	0	1
2016:2:3:7:TUCHENG_E	0	0	0	0	0	0
2016:2:3:7:XINDIAN_S	0	0	0	0	0	0
2016:2:3:7:XINZHU_1_S	1	0	0	0	0	0
2016:2:3:7:XIZHI_S	0	0	0	1	0	0
2016:2:3:7:ZHUDONG_S	0	0	0	0	0	0
2016:2:4:7:ANKANG_E	1	0	0	0	0	0
2016:2:4:7:BADE_S	0	0	0	1	0	0
2016:2:4:7:DANSHUI_B_E	1	0	0	0	0	0
2016:2:4:7:HUALIAN_3_B_E	1	0	0	0	0	0
2016:2:4:7:JINGXIN_S	1	0	0	0	0	0
2016:2:4:7:TAIDONG_2_E	1	0	0	0	0	0
2016:2:4:7:ZHUBEI_1_S	0	0	0	0	1	0
2016:2:4:7:ZHUBEI_2_S	1	0	0	0	0	0
2016:3:1:7:0:JINGXIN_E	1	0	0	0	0	0
2016:3:1:7:0:MUZHA_E	1	0	0	0	0	0
2016:3:1:7:0:TAIDONG_3_E	2	0	0	0	0	0
2016:3:1:7:0:TAO_1_A	1	0	0	0	0	0
2016:3:1:7:0:TAO_2_E	1	0	0	0	0	0
2016:3:1:7:0:XIANGSHAN_B	1	0	0	0	0	0
2016:3:1:7:0:YONGHE_S	1	0	0	0	0	0
2016:3:1:7:JINGXIN_E	0	0	0	0	0	0
2016:3:2:7:BADE_A_E	1	0	0	0	0	0
2016:3:2:7:DANFENG_E	1	0	0	0	0	0
2016:3:2:7:HUALIAN_1_S	1	0	0	0	0	0
2016:3:2:7:XINZHU_3_E	0	0	0	0	0	0
2016:3:2:7:ZHONGLI_2_E	0	0	0	0	1	0
