	BAP_MISS_FIND	BAP_LA_REF	BAP_RC_REF	BAP_MEM_REF	BAP_ENGLISH	BAP_TOUR
2016:2:3:7:JIAN	2	0	0	0	0	0
2016:2:3:7:JILONG	0	1	0	0	0	0
2016:2:3:7:JINGXIN	0	0	0	0	0	0
2016:2:3:7:TUCHENG	0	0	0	0	0	0
2016:2:3:7:WANDA	0	0	0	0	0	1
2016:2:3:7:XINDIAN	0	0	0	0	0	0
2016:2:3:7:XINZHU	1	0	0	0	0	0
2016:2:3:7:XIZHI	0	0	0	1	0	0
2016:2:3:7:ZHUDONG	0	0	0	0	0	0
2016:2:4:7:BADE	0	0	0	1	0	0
2016:2:4:7:BEITOU	1	0	0	0	0	0
2016:2:4:7:HUALIAN	1	0	0	0	0	0
2016:2:4:7:JINGXIN	1	0	0	0	0	0
2016:2:4:7:TAIDONG_2	1	0	0	0	0	0
2016:2:4:7:XINDIAN	1	0	0	0	0	0
2016:2:4:7:ZHUBEI	1	0	0	0	1	0
