	1	2	3	4	5	6
2016:2:0:0:BADE	0	0	0	1	0	0
2016:2:0:0:BEITOU	1	0	0	0	0	0
2016:2:0:0:HUALIAN	1	0	0	0	0	0
2016:2:0:0:JIAN	2	0	0	0	0	0
2016:2:0:0:JILONG	0	1	0	0	0	0
2016:2:0:0:JINGXIN	1	0	0	0	0	0
2016:2:0:0:JINHUA	1	1	0	0	0	1
2016:2:0:0:TAIDONG_2	1	0	0	0	0	0
2016:2:0:0:TUCHENG	0	0	0	0	0	0
2016:2:0:0:WANDA	0	0	0	0	0	1
2016:2:0:0:XINDIAN	1	0	0	0	0	0
2016:2:0:0:XINZHU	1	0	0	0	0	0
2016:2:0:0:XIZHI	0	0	0	1	0	0
2016:2:0:0:ZHUBEI	1	0	0	0	1	0
2016:2:0:0:ZHUDONG	0	0	0	0	0	0
2016:3:0:0:0:JINGXIN	2	0	0	0	0	0
2016:3:0:0:0:SHUANGHE	1	0	0	0	0	0
2016:3:0:0:0:TAIDONG_1_3	2	0	0	0	0	0
2016:3:0:0:0:TAOYUAN_1_2	2	0	0	0	0	0
2016:3:0:0:0:ZHUNAN	1	0	0	0	0	0
2016:3:0:0:BADE	1	0	0	0	0	0
2016:3:0:0:JIAN	1	0	0	0	0	0
2016:3:0:0:JINGXIN	0	0	0	0	0	0
2016:3:0:0:JINHUA	1	0	0	0	0	0
2016:3:0:0:SHUANGHE	1	0	0	0	0	0
2016:3:0:0:TAIDONG_1_3	2	0	0	0	1	0
2016:3:0:0:TAOYUAN_1_2	1	0	0	0	0	0
2016:3:0:0:XINZHU	0	0	0	0	0	0
2016:3:0:0:XINZHUANG	1	0	0	0	0	0
2016:3:0:0:ZHONGLI	0	0	0	0	1	0
2016:3:0:0:ZHUNAN	1	0	0	0	0	0
