	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL	N_REPORTS
2016:1:0:0:BADE	4	5	13	26	7	1	72	11	66	41	0	75	
2016:1:0:0:BANQIAO	1	2	13	27	5	2	56	12	100	28	0	133	
2016:1:0:0:BEITOU	5	5	12	28	4	0	62	11	68	49	0	101	
2016:1:0:0:HUALIAN	0	0	18	21	3	1	51	7	43	37	0	65	
2016:1:0:0:JIAN	0	2	14	16	5	0	49	11	64	42	0	88	
2016:1:0:0:JILONG	0	1	6	24	7	0	31	12	42	17	0	20	
2016:1:0:0:JINGXIN	0	0	17	40	17	8	71	21	70	79	0	147	
2016:1:0:0:JINHUA	4	3	12	23	3	1	55	5	45	35	0	165	
2016:1:0:0:OFFICE	0	0	14	10	0	0	34	8	27	16	0	33	
2016:1:0:0:SANCHONG	3	1	18	9	2	2	36	9	62	27	0	65	
2016:1:0:0:SHILIN	0	1	2	21	1	1	26	3	29	30	0	98	
2016:1:0:0:SHUANGHE	1	3	25	35	1	2	101	17	84	59	0	129	
2016:1:0:0:SONGSHAN	0	0	26	26	2	3	61	11	81	29	0	57	
2016:1:0:0:TAIDONG	2	4	35	44	6	0	105	29	92	44	0	127	
2016:1:0:0:TAIDONG_1_3	0	4	15	23	4	0	62	14	39	22	0	80	
2016:1:0:0:TAIDONG_2	2	0	20	21	2	0	43	15	53	22	0	47	
2016:1:0:0:TAOYUAN	0	0	11	3	0	2	30	1	17	6	0	21	
2016:1:0:0:TAOYUAN_1_2	3	0	10	12	3	0	29	8	32	22	0	78	
2016:1:0:0:TAOYUAN_3	0	1	14	35	2	1	62	7	66	61	0	129	
2016:1:0:0:TAOYUAN_4	0	0	0	5	0	0	5	0	7	6	0	13	
2016:1:0:0:TAOYUAN_5	0	0	6	10	0	0	17	1	10	8	0	32	
2016:1:0:0:TAOYUAN_6	0	1	7	6	2	1	16	3	25	18	0	41	
2016:1:0:0:TOUFEN_MIAOLI	1	1	9	15	3	4	32	12	46	20	0	38	
2016:1:0:0:TUCHENG	0	5	9	33	3	1	57	14	57	73	0	164	
2016:1:0:0:WANDA	4	5	17	45	5	2	103	8	95	72	0	330	
2016:1:0:0:XINAN	0	2	19	32	2	1	82	11	77	53	0	198	
2016:1:0:0:XINDIAN	0	0	6	26	3	0	32	13	67	32	0	61	
2016:1:0:0:XINZHU	4	3	26	25	1	1	84	18	84	50	0	126	
2016:1:0:0:XINZHUANG	0	6	12	14	0	2	37	7	27	13	0	29	
2016:1:0:0:XIZHI	0	5	6	15	7	2	32	12	70	36	0	93	
2016:1:0:0:YILAN	0	1	5	28	11	0	61	13	67	52	0	111	
2016:1:0:0:YULI	0	0	9	28	1	0	37	4	22	21	0	77	
2016:1:0:0:ZHONGLI	0	0	5	23	0	0	56	9	44	25	0	66	
2016:1:0:0:ZHUBEI	6	3	15	21	4	3	45	9	65	42	0	98	
2016:1:0:0:ZHUDONG	4	0	6	16	4	1	26	5	30	8	0	22	
2016:1:0:0:ZHUNAN	2	1	7	29	8	1	55	13	65	53	0	121	
2016:2:0:0:BADE	3	2	9	40	1	3	82	34	91	76	4	101	
2016:2:0:0:BANQIAO	4	8	22	42	2	2	99	37	83	51	12	160	
2016:2:0:0:BEITOU	8	11	14	27	0	1	80	35	123	71	6	128	
2016:2:0:0:HUALIAN	1	1	23	30	0	1	69	11	68	54	3	86	
2016:2:0:0:JIAN	1	6	17	36	3	3	84	35	87	63	8	146	
2016:2:0:0:JILONG	0	2	7	43	1	1	52	27	57	24	2	45	
2016:2:0:0:JINGXIN	2	5	25	43	5	3	112	43	125	115	0	161	
2016:2:0:0:JINHUA	2	5	18	35	4	1	84	27	88	56	7	134	
2016:2:0:0:OFFICE	0	0	34	41	0	0	98	23	33	24	11	46	
2016:2:0:0:SANCHONG	0	1	18	30	1	0	74	24	130	86	7	151	
2016:2:0:0:SHILIN	0	0	1	5	0	0	28	7	37	41	2	112	
2016:2:0:0:SHUANGHE	0	1	43	33	2	0	126	42	167	94	10	172	
2016:2:0:0:SONGSHAN	0	0	42	43	0	1	95	33	118	70	5	133	
2016:2:0:0:TAIDONG	2	4	20	27	3	1	60	13	51	30	4	89	
2016:2:0:0:TAIDONG_1_3	1	8	17	15	4	1	53	27	58	42	2	127	
2016:2:0:0:TAIDONG_2	1	0	27	23	3	3	53	14	61	26	6	70	
2016:2:0:0:TAOYUAN	0	0	3	2	0	0	11	5	18	15	0	51	
2016:2:0:0:TAOYUAN_1_2	3	4	17	8	3	1	58	35	89	58	7	140	
2016:2:0:0:TAOYUAN_3	0	0	11	55	0	0	81	15	74	83	1	196	
2016:2:0:0:TOUFEN_MIAOLI	1	5	11	15	1	1	38	22	79	46	2	115	
2016:2:0:0:TUCHENG	0	1	23	51	1	1	103	39	123	98	6	154	
2016:2:0:0:WANDA	3	7	44	55	5	2	166	50	192	134	11	337	
2016:2:0:0:XINAN	1	2	60	61	1	1	180	46	137	102	15	249	
2016:2:0:0:XINDIAN	0	2	31	33	2	2	71	36	115	66	6	113	
2016:2:0:0:XINZHU	0	7	26	39	2	1	88	28	82	102	2	207	
2016:2:0:0:XINZHUANG	0	5	15	15	1	0	42	11	49	22	2	53	
2016:2:0:0:XIZHI	0	1	8	19	1	1	49	19	76	62	0	165	
2016:2:0:0:YILAN	0	2	8	28	0	1	66	26	98	79	0	207	
2016:2:0:0:YULI	0	0	14	20	0	0	36	5	23	43	0	107	
2016:2:0:0:ZHONGLI	1	0	13	20	0	0	90	21	68	44	3	81	
2016:2:0:0:ZHUBEI	4	5	19	31	6	3	59	25	97	60	2	142	
2016:2:0:0:ZHUDONG	2	1	8	15	1	1	26	13	57	19	3	42	
2016:2:0:0:ZHUNAN	0	4	13	15	3	2	44	16	96	62	8	184	
2016:3:0:0:BADE	0	2	15	40	2	2	85	34	107	59	7	77	
2016:3:0:0:BANQIAO	3	3	19	21	2	0	58	26	67	60	7	80	
2016:3:0:0:BEITOU	1	10	20	31	3	1	80	36	135	74	7	140	
2016:3:0:0:HUALIAN	0	0	15	28	0	0	73	17	56	63	1	91	
