		A	B	C	D	NEXTWEEKBAP	BAP	CON	BD	SAC	PK	OL	NIMISSFIND	NIMEMREF	RCLA	LAC	RCT
2016:1:2:7:CENTRAL	+886972576542	3	4	11	18	1	0	0	50	0	35	85	21	0	13	0	1
2016:1:2:7:EAST	+886972576520	0	2	13	28	8	1	0	59	0	53	48	18	0	28	0	0
2016:1:2:7:HUALIAN	+886972576536	0	1	9	11	5	0	0	25	0	18	16	14	0	12	0	0
2016:1:2:7:NORTH	+886972576546	2	2	6	18	2	0	0	32	0	23	42	18	0	13	0	0
2016:1:2:7:OFFICE	+886910358944	0	0	0	1	0	0	0	1	0	2	5	0	0	0	0	0
2016:1:2:7:SOUTH	+886972576529	1	1	11	33	8	8	0	55	0	45	61	28	0	13	0	0
2016:1:2:7:TAIDONG	+886972576519	1	0	13	27	1	0	0	48	0	25	42	13	0	8	0	0
2016:1:2:7:TAOYUAN	+886912576044	2	3	15	35	6	1	0	84	0	52	68	35	0	25	0	0
2016:1:2:7:WEST	+886972961085	1	5	9	19	4	0	0	40	0	47	68	18	0	21	0	0
2016:1:2:7:XINZHU	+886972576526	8	2	14	20	3	0	0	53	0	45	57	29	0	22	0	0
2016:1:2:7:ZHUNAN	+886963537337	1	2	6	15	4	0	0	32	0	28	37	20	0	13	0	0
2016:1:4:7:CENTRAL	+886972576542	4	2	11	20	6	0	0	47	8	66	146	40	0	29	5	1
2016:1:4:7:EAST	+886972576520	0	2	16	33	18	1	1	66	27	97	118	57	0	56	7	0
2016:1:4:7:HUALIAN	+886972576536	0	1	12	14	3	1	1	36	7	48	70	36	0	30	7	0
2016:1:4:7:NORTH	+886972576546	2	1	6	18	2	1	1	31	9	37	84	34	0	27	11	0
2016:1:4:7:OFFICE	+886972576500	0	0	7	3	0	0	0	18	5	15	13	9	0	2	1	0
2016:1:4:7:SOUTH	+886972576529	0	2	14	39	13	1	1	77	22	91	131	65	0	36	9	0
2016:1:4:7:TAIDONG	+886972576519	0	2	14	27	3	0	0	51	17	43	76	28	0	23	10	4
2016:1:4:7:TAOYUAN	+886912576044	2	2	19	34	4	1	1	84	18	89	154	67	0	53	10	0
2016:1:4:7:WEST	+886972961085	0	5	12	24	4	2	2	52	16	75	121	46	0	46	20	0
2016:1:4:7:XINZHU	+886972576526	5	2	14	19	4	3	3	49	12	66	84	36	0	47	17	0
2016:1:4:7:ZHUNAN	+886963537337	1	0	5	12	6	3	0	27	9	41	59	29	0	18	2	0
2016:1:5:7:CENTRAL	+886972576542	0	0	13	16	0	4	4	42	9	56	164	38	0	33	6	1
2016:1:5:7:EAST	+886972576520	0	3	14	32	1	3	3	60	21	110	115	59	0	53	24	1
2016:1:5:7:HUALIAN	+886972576536	0	0	11	12	0	0	0	39	11	41	67	29	0	25	4	3
2016:1:5:7:NORTH	+886972576546	1	3	2	13	1	0	0	25	5	37	73	27	0	28	6	0
2016:1:5:7:OFFICE	+886972576500	0	0	7	6	0	0	0	15	3	10	15	7	0	9	1	0
2016:1:5:7:SOUTH	+886972576529	0	0	23	29	0	1	1	72	29	85	145	77	0	43	17	0
2016:1:5:7:TAIDONG	+886972576519	1	2	17	18	3	0	0	43	16	46	86	24	0	21	8	1
2016:1:5:7:TAOYUAN	+886912576044	3	1	19	30	2	2	2	81	18	84	147	53	0	64	11	1
2016:1:5:7:WEST	+886972961085	0	3	13	31	0	3	3	58	17	62	137	50	0	35	10	0
2016:1:5:7:XINZHU	+886972576526	1	2	19	23	2	2	2	53	20	68	105	35	0	40	16	1
2016:1:5:7:ZHUNAN	+886963537337	1	0	5	17	1	2	2	28	16	42	63	24	0	22	6	0
2016:2:1:7:CENTRAL	+886972576542	0	1	12	25	0	0	0	51	12	79	140	61	1	39	2	5
2016:2:1:7:EAST	+886972576520	0	2	18	40	0	1	0	70	24	92	163	68	0	49	11	1
2016:2:1:7:HUALIAN	+886972576536	0	1	5	15	0	0	0	29	10	31	38	23	1	17	2	0
2016:2:1:7:NORTH	+886972576546	2	3	4	10	0	0	0	31	5	46	55	21	2	24	6	0
2016:2:1:7:OFFICE	+886972576500	0	0	7	7	0	0	0	25	1	7	17	7	2	5	2	0
2016:2:1:7:SOUTH	+886972576529	0	1	24	34	1	0	0	83	17	87	129	0	0	43	13	0
2016:2:1:7:TAIDONG	+886972576519	0	2	15	19	0	1	1	40	6	33	81	21	0	19	5	0
2016:2:1:7:TAOYUAN	+886912576044	3	0	15	32	0	1	1	82	15	85	171	57	0	43	12	0
2016:2:1:7:WEST	+886972961085	1	3	17	26	0	0	0	56	13	71	118	40	1	52	16	0
2016:2:1:7:XINZHU	+886972576526	1	3	18	22	0	0	0	51	12	59	126	55	0	44	13	0
2016:2:1:7:ZHUNAN	+886963537337	1	1	7	8	1	0	0	22	6	42	80	21	0	26	6	0
